,,,,,,,,,,,,,,,,,,
Area,SHIPPER,INISIAL SHIPPER,Concat,Jenis Perjanjian,Status Perjanjian,NO. PERJANJIAN (TRANSPORTER),SEGMEN BISNIS,Priority,TGL PERJANJIAN,Start,End,Status,Target KPI (TW),Realisasi (TW),PIC,Attachement,Keterangan,
OSSA,PT PURA DAYA PRIMA,PDP,OSSA PDP ,AMD-PPG,EXISTING,087/PG0000/2022-S0,TRANSP. GAS,,5/18/2022,5/18/2022,12/31/2026,Need Action,,,,,,
OSSA,PT MULTIDAYA PRIMA ELEKTRINDO,MPE,OSSA MPE ,AMD-II,EXISTING,231/PG0000/2024-S0,TRANSP. GAS,,12/31/2024,1/1/2025,12/31/2028,DONE,,,,,,
OSSA,PT PERTAGAS NIAGA,PTGN,OSSA PTGN ,AMD-IV,EXISTING,201/PG0000/2024-S0,TRANSP. GAS,,11/20/2024,9/1/2024,8/31/2026,Need Action,,,,,,
OSSA,PT PGN,PGN,OSSA PGN ,AMD-II,EXISTING,034/PG0000/2025-S0,TRANSP. GAS,,3/7/2025,3/7/2025,10/31/2028,DONE,,,,,,
OSSA,PT PGN (JARGAS),PGN JARGAS,OSSA PGN JARGAS ,AMD-PPG,EXISTING,027/PG0000/2022-S0,TRANSP. GAS,,2/15/2022,9/8/2020,9/8/2030,DONE,,,,,,
OSSA,PT PERTAMINA (SPBG),PTM SPBG,OSSA PTM SPBG ,AMD-V,EXISTING,022/PG0000/2023-S0,TRANSP. GAS,,2/23/2023,5/2/2022,12/31/2024,Need Follow Up,,,,,,
OSSA,PT ASRIGITA PRASARANA,AGP,OSSA AGP ,PPG,EXISTING,094/PG0000/2024-S0,TRANSP. GAS,,6/10/2024,6/20/2024,12/16/2025,Need Follow Up,,,,,,
OSSA,PT PLN (KERAMASAN),PLN KERAMASAN,OSSA PLN KERAMASAN ,AMD-III,EXISTING,214/PG0000/2023-S0,TRANSP. GAS,,12/29/2023,12/29/2023,12/31/2024,DONE,,,,,,
OWJA,PT PGN,PGN,OWJA PGN ,AMD-X,EXISTING,094/PG0000/2025-S0,TRANSP. GAS,,6/12/2025,1/1/2024,12/31/2025,Need Follow Up,,,,,proses AMD XI,
OWJA,PT PERTAMINA EP,PEP,OWJA PEP ,AMD-II,EXISTING,179/PG0000/2020-S0,TRANSP. GAS,,5/5/2020,1/10/2020,6/30/2027,DONE,,,,,,
OWJA,PT PUPUK KUJANG CIKAMPEK,PKC,OWJA PKC ,AMD-V,EXISTING,281/PG0000/2020-S0,TRANSP. GAS,,12/29/2020,12/29/2020,12/31/2030,DONE,,,,,,
OWJA,PT ENERGASINDO HEKSA KARYA,EHK,OWJA EHK ,AMD-V,EXISTING,207/PG0000/2024-S0,TRANSP. GAS,,11/28/2024,11/28/2024,12/31/2029,DONE,,,,,,
OWJA,PT BAYU BUANA GEMILANG (JATINEGARA),BBG JATINEGARA,OWJA BBG JATINEGARA ,AMD-II,EXISTING,185/PG0000/2022-S0,TRANSP. GAS,,10/31/2022,12/1/2015,12/31/2026,Need Action,,,,,,
OWJA,PT IGAS UTAMA,IGAS,OWJA IGAS ,AMD-IV,EXISTING,164/PG0000/2024-S0,TRANSP. GAS,,9/6/2024,9/6/2024,12/31/2027,DONE,,,,,,
OWJA,PT PERSADA AGUNG ENERGI,PAE,OWJA PAE ,AMD-III,EXISTING,089/PG0000/2025-S0,TRANSP. GAS,,6/4/2025,6/4/2025,12/31/2027,DONE,,,,,,
OWJA,PT PLN (MK-MT),PLN,OWJA PLN ,AMD,EXISTING,199/PG0000/2024-S0,TRANSP. GAS,,11/18/2024,11/18/2024,12/31/2033,DONE,,,,,,
OWJA,PT PERTAMINA (SPBG),PTM SPBG,OWJA PTM SPBG ,AMD-IV,EXISTING,052/PG0000/2024-S0,TRANSP. GAS,,3/28/2024,12/31/2023,12/31/2024,Need Follow Up,,,,,,
OWJA,PT PERTAGAS NIAGA (NON CNG) EX-IGAS,PTGN NON CNG,OWJA PTGN NON CNG ,AMD-V,EXISTING,087/PG0000/2019-S0,TRANSP. GAS,,5/15/2019,1/1/2019,12/31/2026,Need Action,,,,,,
OWJA,PT SURYA ENERGI PARAHITA,SEP,OWJA SEP ,AMD-II,EXISTING,136/PG0000/2021-S0,TRANSP. GAS,,10/14/2021,10/14/2021,12/31/2027,DONE,,,,,,
OWJA,PT PERTAMINA PATRA NIAGA,PPN,OWJA PPN ,PPG,EXISTING,013/PG0000/2024-S0,TRANSP. GAS,,1/19/2024,1/1/2024,12/31/2025,Need Follow Up,,,,,,
OWJA,PT KILANG PERTAMINA INTERNASIONAL,RU VI BALONGAN,OWJA RU VI BALONGAN ,PPG,EXISTING,092/PG0000/2024-S0,TRANSP. GAS,,6/7/2024,1/1/2024,12/31/2025,Need Follow Up,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
